Name,Address,Pin,Phone,Mobile,Email,Website,Contact Person,Purpose,Aim/Objective
"NFBM – National Federation of the Blind, Mumbai","R.K. Samiti, Gandhi Chowk, R.S. Road, Vile-Parle West
Mumbai","400056
Maharashtra",91-22-26140916,"91-93220 12096, 91-90298 82878",nfbm2010@gmail.com,http://www.nfbm.org,V.S. Hegde,Disability,"To strive for equality of opportunity for the blind in education, training, employment, social living & other areas of rehabilition"
"Niramaya Health Foundation, Mumbai","16-B, 3, Krishna Niwas, Naigaon, Dadar
Mumbai","400014
Maharashtra","91-22-24161110, 91-22-24168746",,niramayahealth@gmail.com,http://www.niramaya.org,Dr. Shamla A. Dupte,"Volunteers, health care","Niramaya Health Foundation is committed to ensuring a disease free childhood for a healthy and responsible adulthood. Our twin missions are to fight for an anemia free world for the children of India, and to sensitize adolescents on their reproductive rights and sexual health"
"Nirmala Niketan Institute, Mumbai","College of Home Science and Polytechnic, Nirmala Niketan, 49 New marine Lines
Mumbai","400020
Maharashtra","91-22-22076503, 022-22003217",,nnchsc@bom5.vsnl.net.in,,Ms Evelyn Menezes,"Aged, Art and culture, Child welfare, Consumer issues, Education, Environment, Food and Nutrition, Health, Women’s issues","Nirmala Niketan Institute aims at the total development of the Indian women by providing learning opportunities to empower her with knowledge, skills and attitudes to face personal and professional challenges with confidence. Including values of respect, commitment and career for the service of others and thereby enabling her to make a positive contribution to society in the 21st century"
"Nmsmm’s Shubharambh, Navi Mumbai","208, Jadhav Niwas, Shivahakti Ngr, Turbhe Stores
Navi Mumbai","400705
Maharashta",,"91-98210 63224, 91-098205 97236",ganeshakharat@yahoo.com,,Ganesh Kharat,,Start educational activities with farmers children
"NRITYANJALI, Mumbai","35-B, Miniland, Nrityanjali Marg
Mumbai","400078
Maharashtra",91-22-25967388,,nrityanjali@vsnl.com,http://www.nrityanjali.in,Dr. Anonna Guha,"Instutite of performing arts, education and personality development.","Love care and share whatever little we have making life not just about existing but about ?living?, Independence of thought, feeling and action. Developing pride of existence. Constant evolution and progress. Understanding future realities with an openness in our minds. At Nrityanjali, we dare to think unconventionally & do things differently. And this enables us to guide our patrons to discover themselves, blossom and surge ahead"
"Oasis India, Mumbai","1st floor, H. Kantilal Compound
Mumbai","400072
Maharashtra",91-22-28472562,,transformation@oasisindia.org,http://www.oasisindia.org,Divya Kottadiel,Transformation & empowerment of urban poor and marginalised.,"Oasis India works for the transformation and empowerment of individuals and communities in Indian cities through projects based on advocacy, health care, education, rehabilitation, training and resourcing"
"Om Creations Trust, Mumbai","Anand Niketan, E Moses Road
Mumbai","400011
Maharashtra",91-22-24923635,,omcreationstrust@gmail.com,http://www.omcreationstrust.org,Hoshang Chacha,,"Employment to adult down syndrome /autistic / mentally challenged girls /ladies/ supporting other disabilities. Inspiring people for comparing the strata of this sect of population with that of normal one. Growth opportunities and beacon of light in population of disabled and parents in rural sector. To reach global for spreading awareness in educational rehabilitation of mentally challenged women. To be a motivated team of people providing life long holistic innovated services to the families of caring for young adults with the developmental disabling and enabling environment. Ensuing the development of skills for future vision to be national leaders in support services. Primarily in vocation training the young adults / senior citizens covering all corners of country. Creating a sequel to counseling on recreation sense of belonging to young adults and almost senior citizens. Om creations gradually becomes more than home. Values / commitment / dedication and quality services to ladies / young adult. Operating vocational centers and positive approach towards safe environment. It is a hard core profile of om creations to set focal point on three disciplinary areas ? service, training, advocacy, counselling"
"Oomang Community Center, Mumbai","Shop 2, Simran Appts, Sector 28
Mumbai","400706
Maharashtra",,91-93211 27043,oomang.cns@gmail.com,http://www.oomang.org,Anitha Manickam,Funding for workshops and seminars for women and children.,To empower each and every women to live with diginity and full self expression. We make people to participate fully in their life. To provide opportunities to people such that they live up to their self-expression
"Options, Mumbai","81 Patrakar, Kala Nagaar, BAndhra (East)
Mumbai","400051
Maharashtra","91-22-26590630, 91-22-26452319",,options42@hotmail.com,,Pranay Lal,Health,Options is working in the field of AIDS awareness. It conducts various programmes in this field and services to make a difference through knowledge and empowerment
"Paa Foundation, Mumbai","503, Ragini ‘A’ Wing, Vasant Utsav Co-Op. Hsg. Soc.
Mumbai
Maharashtra
400101", , ,,connect@paafoundation.in,www.paafoundation.in,Sunil Singh,"Adolescent Girls Welfare, Awareness Generation, Child Labour, Child Rights, Child Welfare, Development (General), Education, Employment, Environment, General – Social Welfare, Health, Plantation, Pollution, Poverty, Rural Development, Social Awareness, Training, Tribal Development, Tribal Issues, Volunteers, Women Development/Welfare, Youth.",Paa Foundation is here for many social causes out of which some of the basic aims of our foundation are mentioned below: provide education to all poor & needy children especially those who can’t afford it we are aiming to build schools across the country that provides free & quality education to the under-priviledged. Create job opportunities for poor & needy people don’t give money but opportunity to earn money & respect is our motto. Save girl child / dowry / harassments / make women independent we encourage more & more female members to join us and be proud of undertaking various social and environment friendly activities
"Paraplegic Foundation, Mumbai","T-1, Old Barracks of LTMG Hospital
Mumbai","400022
Maharashtra",91-22-24071671,,paraplegicfoundation@yahoo.com,http://www.paraplegicindia.org,Bhagyesh V. Lad,,We serve total rehabilitation of physically challenged peoples
"Parivartan Bahuuddeshiya Sanstha, Mumbai","Samadhan Kirana Store, Navyug Chawl, Bhim Nagar, Damu Nagar, Akurli Road, Kandivali (E)
Mumbai","400101
Maharashtra",91-22-29653467,91-98676 38980,samadhan_bhaurao@yahoo.co.in,,Samadhan Bhaurao Kale,Employment generation in slum area.,Women empowerment poor child education hiv/aids awareness slum developement educational awareness
"Passages Association for Guidance, Education & Support, Mumbai","92, Lady Ratan Tata Medical Centre, Cooperage
Mumbai","400021
Maharashtra","91-22-22047823, 91-22-22871299",,,,Nalini Shewakramani,"Education, Health, Women’s issues","Passage is an organisation dedicated to understanding the physical and psychological changes a female goes through, from childhood to adult. This self-help/support group assists you in recognising yourself so that you can see life?s issues as an opportunity for personal growth. Our mission is to create a confident, self-reliant woman who through learning and self awareness can contribute to herself, her family, and the community at large"
"People’s Action for Development, Mumbai","9th Floor New Administrative Building, Opp Mantralaya
Mumbai","400032
Maharashtra",91-22-22852118,,,,Dnyanesh Bhat,"Agriculture, Disadvantaged communities, Micro-enterprises, Sustainable Development","People?s Action for Development is a trust headed by the chief minister an its ex-officio chairperson. PAD strives hard through provision of grants to the needy trusts to get themselves engaged in projects aimed at employment generation for the masses and based probably on agriculture and allied subjects like sericulture, bee-keeping, green house etc"
"People’s Responsibile Organisation of United Dharavi (PROUD), Mumbai","90ft. Road, Subash Nagar, Dharavi
Mumbai
Maharashtra
400017", , ,96646 92998,pkanthony@rediffmail.com,www.prouddharavi.com,Prashant Anthony,"Advocacy On Social Issues, Anti Drug Campaign, Awareness Generation, Child Rights, Child Welfare, Community Development, Consumer Issues, Development (General), Disadvantaged Communities, Employment, Food And Nutrition, Health, Human Development, Human Rights, Livelihood, Micro-Enterprises, Poverty, Social Awareness, Right To Information, Trafficking Of Women, Urban Development, Women’S Issues, Youth.","People?s Responsible Organisation of United Dharavi(PROUD) is a non-political, secular and community based organisation working for the betterment of people in Dharavi since 1979. PROUD has also been active and continuously involved in Dharavi Redevelopment Project(DRP), working in close coordination with MHADA PMGP SPPL SRA specially to create public opinion by organizing community public meetings, spreading awareness etc. PROUD is the oldest organization of dharavi, asia?s largest slum-settlement, was most notorious and dangerous slum that even a taxi-men refused to enter the slum after 6pm. PROUD through it?s community organising programme, issue-solving process and with constant social actions, i.e. Peaceful and non-violent mass demonstrations by pressurizing local authorities was first responsible for arranging: free drinking water supply in dharavi, cleaning and maintenance of drains and garbage removal, construction of drains, community toilets, roads, internal pathways etc. Ration cards, photo-passes, postal service, bank accounts etc,stopping forceful evictions in dharavi and demand land-ownership. Reduction of crime in dharavi. PROUD continue to work for: basic civic rights, housing rights, human rights etc,empowerment of women & youth, peace & communal harmony relief and rehabilitation(in emergency) welfare of senior citizens, widows & the unemployed, health & education awareness, right to information(rti), public-accountability & local governance, campaign against crime and corruption etc"
"Planning Rural-Urban Integrated Development through Education, Mumbai","4-C, Swapnalok, 47, Lady Jagmohandas Marg
Mumbai","400036
Maharashtra","91-22-23630523, 91-22-23680037",,vkadri@bol.net.in,,Vipula Kadri,"Development(General), Education, Rural Development, Training","The major focus of all the PRIDE programmes is to help local people plan, organise and work through their training towards self sufficiency. It aims to meet the basic needs of the villages through integrated development and to encourage the participation of women in village communities. This would help them to work together to create self-sufficient families and ultimately self sufficient communities"
"PPN – People’s Power of Nation, Mumbai","E-1/504, Highland Park, Mulund Colony
Mumbai","400082
Maharashtra",,91-98200 25958,panchemorganics@yahoo.com,http://www.ppon.org,Anmol Bhushan,Social causes,Political and administrative reforms in India. To help poor and needy. To make young people in India aware of social issues and to make them work for social causes. To provide employment to young social workers who want to dedicate their lives for the nation and its causes. To make a national forum for all citizens of India to redress their immediate problems and issues through a common platform. To eradicate corruption and poverty in India. To induce patriotism and nationalism in Indian people
"Prabodhini Mahila Samajik Sanstha, Mumbai","3/310, Saidham Chs, Nanabhai Laxman Parelkar Marg
Mumbai","400012
Maharashtra",,"91-98697 65361, 91-93217 65361.",priyankaghanekarg9@mail.com,,Priyanka S Ghanekar,,"Social welfare trust, reg charity comm. Education environment, development"
"Pragatee Foundation, Mumbai","Bapu Chaya Bldg, 185-188, Sector 23, Juinagar
Mumbai
Maharashtra
400705", , ,96196 80613,kranein@gmail.com,www.pragatifoundation.com,Kiran Rane,"Adolescent Girls Welfare, Advocacy On Social Issues, Art And Craft, Art And Culture, Awareness Generation, Cancer Patients Help, Community Development, Corporate Social Responsibility, Development (General), Disaster Management, Distance Learning, E-Learning, Employment, Grants/Aids, Human Development, Information And Communications Technology, Media, Old Aged Welfare, Rural Development, Self Help Groups, Social Awareness, Training, Tribal Development, Urban Development, Women Development/Welfare, Women’S Issues, Yoga, Youth It Literacy And Digital Literacy And Empowerment Of Women.","Mission for social, medical and educational development education – school, college & it to establish, run, manager pre-primary, primary, secondary, higher secondary schools, in marathi, english and other mediums. It literacy is a mission of trust. Spreading skill training program especially for empowering women and youth. Medical – hospitals and health care centres to establish blood banks with complete infrastructure, to establish, hi-tech diagnostic centres for upliftment of all needy person, providing latest facilities such as sonography, cance detection, control of pid?s infection, control of transmission of hiv, diagnosis and control of leprosy, T.B. Etc and to make the people aware of hiv infection and protection against it. Social – health, food, handicapped, women and childrens to provide information about the nutritious food, hygiene care, give treatment for handicapped children etc. To organize camps for eradication of blind faith andha shradha nirmoolan karya. To establish support, maintain and aid boarding houses and hotels for needy deserving students. To establish and manage old age homes with provision of proper medical and physical help. To extend free of cost medical facilities to the needy and poor patients, to organize blood donation camps, eye donation camps to compile useful exhaustive data thereof social – small scale industry for women, national integrity and more"
"Pragatik Vidhyarthi Sangh, Mumbai","A/10, Budha Vihar, Dr. B.R. Ambedkar Municipal Labour Camp Chembur
Mumbai","400089
Maharashtra",,,,,Jagannath B. Kamble,Education,The organisation believes in socially and economically developing the rural people by providing their children with an opportunity to study and be able to lead an independent life
"Prakash Bhavan Seva Sang Trust, Mumbai","94/102, New Mhada Colony, Mankhurd
Mumbai","400043
Maharashtra",91-22-25585846,91-93213 19614,vedahilda@hotmail.com,http://www.prakasharumai.org,Vedhanayagam,Education and child developement.,To give quality education for the poor slum children and give bright future and taking care of that children
"Prakruti, Mumbai","620, Jame Jameshed Road, Fourth Floor, Dadar East
Mumbai","400014
Maharashtra","91-22-24149688, 91-22-24155536",,kisansbc@vsnl.com,,Kisan Mehta,Environment,The organisation envisions an environmentally sustainable society. It encourages natural living and sustainable agriculture and also highlights the positive aspects of environment protection
"Pratham Education Initiative, Mumbai","Y B Chavan Centre, Jen J Bhosale Marg, Nariman Point, Church Gate
Mumbai","400037
Maharashtra",91-22-2886975,,pratham@giasbmo1.vsnl.net.in,,Farida Lambay,Education,The main aim of the organisation is to get every child into a school for learning. And its vision is to make primary education universal
"Praxis ‘Go Green’ Initiative, Mumbai","V.E.S.I.T, Sindhi Society
Mumbai","400037
Maharashtra",91-22-24014509,,gogreendrive@gmail.com,http://www.praxis-vesit.com/gogreen.aspx,Prashant Serai,Tree plantation.,"To plant trees across Mumbai, to stunt Global Warming, and to promote the ecosystem in general"
"Prem Sagar, Mumbai","Lutheran Centre, Marve Road
Mumbai","400064
Maharashtra",91-22-28823301,,,,S. Alferd,Child welfare,Prem Sagar strives to help the street children to become better citizens of society. Its programmes try to serve these children and solve all kinds of problems they face. It supports them emotionally and imparts vocational training to them. To solve their ecomonic problems the organisation helps them in acquiring jobs
"Prerana, Mumbai","C-603, Eden III, Hiranandani Gardens Powai
Mumbai","400076
Maharashtra",91-22-25700684,,pppatkar@gaisbm01.vsnl.net.in,,Priti Patkar,Women’s issues,Prerana is involved in the activities for the welfare of prostitutes. Its activities include development and re-integration of women and child victims of commercial sexual exploitation. It also aims to prevent trafficking of women and children for prostitution and pornography
"Progressive Foundation, Mumbai","401-4b, Patliputra Nagar, Jogeshwari West
Mumbai
Maharashtra
400102", , ,93248 12905,tanveermm@gmail.com,,Tanveer Alam,Social Work.,"We are working with lots of aim, in short idea is that for the progress of Indian citizens"
"Project Mainstream, Mumbai","Vasant Vilas 5th Floor, 31 Dr. D.D.Sathye Marg Girgaon
Mumbai","400004
Maharashtra","91 22 23898930, 91-22-23821969",,promain@vsnl.net,http://www.projectmainstream.org,Mahendra G. Mehta,"Child welfare, Micro-enterprises, Training","PM aims at helping the poor street children in skill development and entrepreneurship and thus creates a status in the family and the community. Some of its training programmes include vocational training in driving a car, security guard training and domestic helpers training. Small business orientation, training, and micro-credit are other activities of the organisation"
"Project Sharan, Mumbai","118, Sea Face Society Hanuman Nagar, Katar Road Danda Khar West
Mumbai","400052
Maharashtra",91-22-64286391,,info@projectssharan.org,http://www.projectssharan.org,Amit,To positively impact the societies that we work in.,To develop innovative ways of fundraising for helping projects with their funding requirements. To approach philanthropic individuals for raising donations across the country. To work as an organization towards the eradication of unemployment by providing various opportunities to able as well as disabled individuals to earn a living. Providing equal opportunity of work to all. Work towards the upliftment of one and all that form a part of the communities that exist around us by offering our services and through job creation. To positively impact the societies that we work in
"Prompt Care International Foundation, Mumbai","8/203, 204 Lilyyanagar, Off S V Road, Near Kamath Club Goregaon
Mumbai","400062
Maharashtra",91-22-28748043,,pcif@vsnl.com,,Gopalakrishnan Aiyer,"Aged, Health","Quality health care for all. Service such as 1) Financial assistant for surgery. 2) Arranging for voluntary blood donors in case of emergencies. 3) Ambulance service to shift patients to hospital to hospital. 4) Provision of food, medicine and other essential things. 5) Assistance in complete medical check up and treatment by specialist. PCIF also helps patients from outside the country with their travel documents, preparing patients medical history and appointments with leading doctors prior to arrival for treatment"
"Protein Foods and Nutrition Development Association of India, Mumbai","22, Mahalaxmi Chambers, 2nd Floor, Bhulabhai Desai Road
Mumbai","400026
Maharashtra",91-22-24938998,,pfndai@vsnl.com,,Manohar Chitale,"Food and Nutrition, Health","The organisation focuses on the problems relating to food and nutrition in the country and evolves plan of action to help overcome them. Its activities include those related to education, nutritional surveys, advisory and consultancy, organisation of workshops on topics related to food and nutrition. The dissemination of information and liaison with government to initiate or accelerate the development of nutritional and other food products and to help new entrants in food processing industries"
"Rajiv Gandhi Memorial Education Society, Mumbai","G 2, Royal Status, 33 Sir Balchander Road Mumbai",400014 Maharashtra,91-22-24143079,,verdictweekly@gmail.com,,"Krisshna Arjun, Muraleedharan Raghavan",Education for the needy.,The main objective of this organisation is to provide free / subsidised educational facilities to the needy students in and around Mumbai and its suburbs
"Rashtriya Jagran Manch, Mumbai","90/A, Orchid Plaza, Behind Movie Gem Theatre Mumbai",400068 Maharashtra,91-22-28283803,,ra.jagranmanch@yahoo.com,,Ramesh Pandey,For reaching society at large.,"We help poor and needy people from weaker sections of the society by conducting various awareness programmes such as need of proper education, health and hygiene, financial support for medication etc"
"Rayat Probodhan Sanstha, Mumbai","Sudha Niwas, Babhai, Eksar Road, Borivali Mumbai",400091 Maharashtra,91-22-28993167,,sadanandpurav@gmail.com,,"Arun Belekar, Sadanand Purav","Upliftment of the children, protection of environment, consumer protection.","Upliftment of the children, protection of environment, consumer protection and to do every efforts for achiving social justice"
"Rayat Vikas Mahila Bachat Gat, Mumbai","Ashok Mill Compound, Sant Rohidas Marg Mumbai",400017 Maharashtra,91-22-24018099,,rayatvikas@gmail.com,,Prakash,Social work,Self help group
"Rayat Vikas Majoor Sahakari Sanstha Ltd, Mumbai","Ashok Mill Compound, Sant Rohidas Marg Mumbai",400017 Maharashtra,91-22-24018099,,rayatvikas@gmail.com,,Prakash,Social work,Constructions in govt schemes
"Real Foundation, Mumbai","35, Sukh Sadan Dena Wadi, Thakurdwar Mumbai",400002 Maharashtra,,91-97730 33310,realngo2009@gmail.com,,Dhwanit S. Rele,All type work.,
"Rescue Foundation, Mumbai","39, Lady Fatimadevi Road Mumbai",400067 Maharashtra,91-22-28060707,,admin@rescuefoundation.net,http://www.rescuefoundation.net,Triveni Acharya,"To Reintegrate the trafficking survivors girls, women into our respectable society.",
"Research Centre for Women’s Studies, Mumbai","Sir Vithaldas Vidyavihar, Juhu Campus Juhu Road Mumbai",400049 Maharashtra,"91-22-26128462, 91-22-26490691",,rcwssndt@bom3.vsnl.net.in,,Dr. Meera Kosambi,Women’s issues,
Resource & Support Centre for Development -Navi Mumbai,"RH IV – C4, Sector 9, C.B.D.-Belapur Navi Mumbai",400614 Maharashtra,"91-22-27577587, 022-27574100",,rscd@vsnl.com,,Rajesh Kuruvilla,"Agriculture, Development(General), Disadvantaged communities, Education, Employment, Environment, Forestry, Human Rights, Labour, Rural Development, Sustainable Development, Tribal issues, Water, Women’s issues","MISSION: Formation of network bodies of development agencies, actors, and committed people who believe in the potential of the marginalised and enable them to become actors of their own development. VISION: A society in which equal and appropriate opportunities are available to the marginalised, mainly tribal, dalits and women, enabling them to be partners in building up this nation and exercise their rights in equality, justice and freedom"
"RSP – Rashtra Swasthya Prabodhini, Mumbai","255 / 15, Sankalp, Sector-2, Charkop Mumbai",400067 Maharashtra,,91-93243 16271,rsp_ngo@yahoo.co.in,,P.M. Nelwade,Health awareness programmes.,Prapogate the importance of good healthamong the ociety. persuading people to maintain clean surrondings encouragement. Educating the society on the ills of diseases and their preventive measures. Particular emphasis for educating the members of the society on the ills of AIDS and subsequent rehabilitation measures of the patients. Provide assistance to municipal corporation and such other social service organisation in their endeavour for propogation of clear and healthy surroundings
"Rural Communes, Mumbai","70, 2nd floor, LIC Building, Anadilal Poddar Marg Mumbai",400002 Maharashtra,"91-22-22085601, 91-22-22015357",,rcmuneer@vsnl.com,,Muneer Alavi,"Agriculture, Development(General), Environment, Rural Development, Training, Urban Development","Rural Communes is a voluntary organisation working in the field of Training and Rural Development. It has been conducting various programmes to support, train and develop grass-roots level groups and sustainable development of the rural poor. The objectives of the organisation include creating social, economic and political awareness among the people so as to sensitise them. It organises programmes on formal and non-formal education, skills or voluntary training, community health and organising or promoting programs in rural development. Conservation of bio-diversity and agro-biodiversity, environment consciousness and regeneration, comprehensive watershed development and sustainable agricultural practices are some of the other thrust areas of the organisation"
"S P J Sadhana School for the Developmentally Handicapped, Mumbai","Dr. Rosendo Ribeiro Children’s Complex, Sophia College Campus, Ballubai Desai Road Mumbai",400026 Maharashtra,"91-22-23647913, 91-22-23671954",,sadhana@bol.net.in,,Sister Eileen Gaitonde,"Disability, Rehabilitation, Training","The organisation Aims to maximise the potential of every mentally handicapped, multiple handicapped student and make him or her productive members of the society. A multi-disciplinary team consisting of special educators, speech therapists, occupational therapists, counsellors, and vocational rehabilitation personnel is actively involved in development of the disabled children"
"Saathi, Mumbai","Flat 41, 6th Floor, B-1, Maniyar Apts Tardeo Road Mumbai",400034 Maharashtra,91-22-24948053,,saathi50@hotmail.com,,Mansoor Qadri,Child welfare,"Saathi works with the street youth and children addressing a wide range of issues such as economic alternatives, housing alternatives and housing for youth, training of youth and children, health and health education, drug addiction and HIV/AIDS education. It also has collaborative programmes with other NGOs in the areas of training and developing a manual and capacity building besides sharing its experiences and concerns with others"
"Sahara Pratishthan, Mumbai","39/2011, Shivam Chs, Gandhi Ngr, BAndhra (E) Mumbai",400051 Maharashtra,91-22-26420566,91-98211 37624,raj_punu1@yahoo.com,http://www.saharapratishthan.org,Sunil R Zode,Social welfare,
"SAHAYAK, Mumbai","B18, B402, Gokuldham, Goregaon (East) Mumbai",400063 Maharashtra,,"91-90761 42156, 91-89765 72989",sahayakngo@hotmail.com,,Dr. L.B. Tiwari,To provide legal aid to common aggrieved person of the society.,"Legal-aid, social awareness and education about fundamental and human right, fight against any kind of unlawful act committed by any version of society"
"SAI – Social Activities Integration, Mumbai","14 G/F- Byculla Municipal School Building, N.M. Joshi Road, Byculla (West) Mumbai",400011 Maharashtra,"91-22-23016976, 91-22-23051706",91-98920 91858,vasta_sai@yahoo.co.in,http://www.saingo.org,Vinay Vasta,Human care- health & education.,"Following are the activities that sai carries out in the field through various projects. Health education & prevention on hiv/aids, sexually transmitted infections (stis) & opportunistic infections (oi) & awareness programs with involving the hiv infected & affected people. Targeting the high-risk population of sex workers including sexual minorities in hiv/aids with providing health education, prevention material, techniques and medical care and support & art from government centres. Hiv/aids, stis prevention and treatment programs for sex workers through mobile & set up clinics to reduce the risk of hiv infection. Drop in center for sex workers and poor people living with hiv/aids. Prevention of mother to child transmission of hiv/aids. Art supporting services to children living with hiv/aids with government hospitals. School supporting programs for children of sex workers, plha & children living with hiv/aids. Certificate course in care & treatment of hiv/aids for medical and non-medical professionals. Direct observation treatment short course on tuberculosis. Empowerment of poor people with hiv/aids and sex workers. Proposed shelter & hospice project for destitue aids patients & sex workers"
"Sakaar Social & Educational Organisation, Mumbai","‘A’ Colony, Gautam Nagar, Nr. Zende Garden, Govandi Mumbai",400043 Maharashtra,,91-98336 10640,sakaar2006@gmail.com,,"Shashikant Vitekar, Pravin Sawant",,Help and work for a peoples who are poor and unemployed
"Sakhya Womens Guidance Cell, Mumbai","College of Social Work, Nirmala Niketan, 38, New Marine Lines Mumbai",400020 Maharashtra,"91-22-22075849, 91-22-22014880",,,,Vijayashree R. Iyengar,Women’s issues,"SAKHYA is an organisation formed to fight the dowry system. It works as a guidance cell and performs functions firstly to educate and mobilize people and groups against the evils of dowry. It helps dowry victims by providing them legal, psychological and vocational assistance"
"Sakhya, Mumbai","College of Social Work, Nirmala Niketan, 38, New Marine Lines Mumbai",400020 Maharashtra,"91-22-22075849, 91-22-22014880",,,,Vijayshree Iyengar,Women’s issues,"Sakhya is a women’s guidance cell established for women in distress. It conducts awareness programmes on family life, education and gender sensitisation and provides legal aid on marital aspects through its lawyers"
"Samaj Seva Niketan, Mumbai","3-4, Bhanu Villa, Amrut Nagar, Ghatkopar Mumbai",400008 Maharashtra,91-22-25008987,,samajseva@mtnl.net.in,,Usha Macwan,Empowerment of women and children,Empowering the women and children of urban slum
"Samaj Seva Samiti, Mumbai","8/19, Shalima, Lala Nigam Rd., Colaba Mumbai",400005 Maharashtra,91-22-22813876,91-93201 11118,primeestate@yahoo.com,,Parvez Alam,Social work,"Agenda torture, harassment, abuse, dowry, social justice, anti corruption"
"Samaj Vikas KAndhra, Mumbai","256 Building, 202 Khetwadi Grant Road Mumbai",511072 Maharashtra,91-22-25689345,,nicicibank@yahoo.com,http://www.samajvikaskander,Amish,To help thouse people who want real help.,That our mission is to remove the little bit problem from the lower socitey and our member was also belong from the middle class family but there luck god has gevin much more so know we are provideing the montly (like pansion) Rs 300 to the women who join the sanstha
"Samajsevak Rugnaseva Aadharbhut Sanghatan Abhirakshak, Mumbai","Uttung O-C, Samant Wadi, Goregaon (East) Mumbai",400063 Maharashtra,"91-22-28731013, 022-28721144",,rugnadhar@vsnl.net,http://www.rugnadhar.org,Vijay Pradhan,"Food and Nutrition, Health, Human Rights","We are attempting to raise the living standards of the people, to fight poverty, hunger, disease, illiteracy and other things. We fight for Justice and promote love among all community without cast creed and religion"
"SAMARITANS, Mumbai","Sai-Krupa, 1st Floor, BA Road, Dadar (E) Mumbai",400014 Maharashtra,91-22-32473267,91-98204 25963,rodantonio@gmail.com,,Antonio Rodrigues,Suicide prevention.,"To provide emotional support for distressed, the despairing and suicidal"
"Samarth Apang Samajik Sanshta, Mumbai","Shailesh Bhoir Niwas Govandi, Near Fish Market Mumbai",400088 Maharashtra,,91-98922 28540,samarthapang@yahoo.com,,Sandeep J Bhoir,Physically handicapped development.,"We organized the meetings of physically handicapped persons (all categories at Mumbai on various occasions. We also issue inform them about the employment available for Ph. We also provided them the knowledge of educational, social work, cultural in the various field’s of the society from time to time"
"Samartha Seva Charitable Sanstha, Navi Mumbai","A-396, 1st Floor, Sector-2 Navi Mumbai",400708 Maharashtra,91-22-27692158,,ssc.sanstha@yahoo.co.in,,Parag Pawar,To work for any charity and social purpose.,"Samartha Seva Charitable Sanstha Aims at various aspects such as protecting the cultural heritage, safeguarding the environment, taking care of the old and imparting education to children belonging to the downtrodden families"
"Sambhav Foundation, Mumbai","112/790, Heramb Society, Sarvoday Nagar, Jogeshwari East Mumbai",400060 Maharashtra,,"91-98692 54899 , 91-99693 21535",sambhavemail@gmail.com,http://www.sambhavfoundation.webs.com,Vijay Pawar,Social welfare,"Sambhav Foundation is a social organization registered under Society Registration Act, 1860 and Bombay Public Trust Act, 1950. Sambhav Foundation is working for social justice and empowerment of the weaker section of the society. It is a non-profit and non-political social organization undertaking the process to deliver contemporary and cutting edge strategies and services for the underprivileged people. Sambhav Foundation is formed by the people from different professions like professional social worker, doctors, psychiatrists, paraprofessionals, businessmen, volunteers and medical professionals. It is dedicated to assist the needy and underprivileged people to get their fundamental needs and enjoy human rights equally with five principles i.e. Gender equality, social justice, secularism, environmental justice, responsibility towards society. Transform and empower the oppressed and marginalized by facilitating development process ensuring the fulfillment of their human rights to live in security, peace and dignity. Work with children, youth and other marginalized groups. Emphasis on promotion, protection and restoration of human rights at the individual and collective level"
"Sampark, Mumbai","C.V.O.D Jain High School, 84 Samuel Street, Palla Gally Dongri Mumbai",400009 Maharashtra,,,mitra@bom3.vsnl.net.in,,Baliram Balsaraf,"Human Rights, Media, Public Administration, Rural Development, Tribal issues, Water, Women’s issues",
"Sanjivani, Mumbai","Everest A/1, 2nd Floor, 156, Tardeo Raod Mumbai",400034 Maharashtra,"91-22-24942022, 91-22-24943377",,,,HasyaChandra Mehta,"Disaster management, Education, Health",Sanjivani Aims to promote and render necessary aid for education; provide medical aid including hospitalization to the needy irrespective of caste or creed; undertake relief work in times of calamities and to rehabilitate families by providing work or assistance
"Sankalp Siddhi Sansthan, Mumbai","1514, 15th Floor, Bld-2, Ganesh Ekta Society, Yashwant Nagar, Goregaon
Mumbai
Maharashtra
400104", , ,"98205 50990, 90043 30234",sankalpsiddhisansthan@gmail.com,www.sankalpsiddhisansthan.simplesite.com,Anil Tiwari,"Agriculture, Animal Welfare, Art and Culture, Welfare, Social Awareness, Right To Information, Trafficking Of Women, Urban Development, Wildlife, Women Development/Welfare, Women’S Issues, Yoga, Youth.","This organization will look after all the above mentioned activities and try to bring awareness in the society. We are sure you will get relief after knowing the genuine objectives of this organization. As we all know that some of these organizations are run sincerely for public interest we feel proud good and happy. But when we get to know the realty of some such organizations through news papers or t. v. Who merely run these organizations for their personal gain and benefit, hurting the feelings of people, we feel sorry and sad. These so called organizations are not only creating a bad name for themselves but also create hindrances and obstacles for the genuinely run organizations. So be aware of such organizations and don t get cheated"
